ID,Region,Cell Count
1,Baden-Wurttemberg,17
2,Bayern,32
3,Berlin,1
4,Brandenburg,14
5,"Bremen, Niedersachsen",25
6,Hamburg,1
7,Hessen,8
8,Mecklenburg-Vorpommern,14
9,Nordrhein-Westfalen,20
10,Rheinland-Pfalz,9
11,Saarland,2
12,Sachsen,10
13,Sachsen-Anhalt,11
14,Schleswig-Holstein,11
15,Thuringen,9
16,Abruzzo,3
17,Basilicata,3
18,Calabria,5
19,Campania,6
20,Emilia-Romagna,8
21,Friuli Venezia Giulia,4
22,Lazio,9
23,Liguria,3
24,Lombardia,9
25,Marche,5
26,Molise,1
27,"P.A. Bolzano, P.A. Trento",6
28,Piemonte,11
29,Puglia,11
30,Sardegna,10
31,Sicilia,11
32,Toscana,9
33,Umbria,3
34,Valle d'Aosta,1
35,Veneto,6
36,France,66
